frame,visible,score,rank,x,y,w,h,dist_px,strict_hit,loose_hit
47,0,0.2548823427495383,3,136,38,7,6,,False,False
48,0,0.04572886527053643,5,141,35,9,7,,False,False
49,0,0.20542718142214886,3,190,52,7,7,,False,False
50,0,0.09874016419411784,2,195,124,12,12,,False,False
51,0,0.6210016680664465,1,194,48,12,12,,False,False
52,0,0.6210016680664465,2,196,47,12,12,,False,False
53,0,0.42667265548528377,1,201,51,6,10,,False,False
54,0,0.8447335971119435,1,205,50,12,12,,False,False
55,0,0.8188397434809362,1,209,50,12,12,,False,False
56,0,0.8824339369413298,1,212,53,12,12,,False,False
57,0,0.9173902160657205,2,216,54,12,12,,False,False
58,0,0.9173902160657205,1,218,56,12,12,,False,False
59,0,0.9588488638005351,1,225,59,12,12,,False,False
60,0,0.9588488638005351,1,230,61,12,12,,False,False
61,0,0.9588488638005351,1,233,62,12,12,,False,False
62,0,0.9503928557472654,2,237,64,12,12,,False,False
63,0,0.9503928557472654,1,240,66,12,12,,False,False
64,0,0.9503928557472654,2,244,68,12,12,,False,False
65,0,0.9537098114438713,2,248,70,12,12,,False,False
66,0,0.7055878610962187,1,254,73,12,12,,False,False
67,0,0.6793961567800897,1,258,75,12,12,,False,False
68,0,0.37852999488107586,1,262,77,12,12,,False,False
69,0,0.4836542829328562,3,272,78,12,12,,False,False
70,0,0.2709422978774904,5,161,56,12,12,,False,False
71,0,0.3861559065605643,4,162,57,12,12,,False,False
72,0,0.3863488982615585,4,163,58,12,12,,False,False
73,0,0.9023637238900493,2,164,57,12,12,,False,False
74,0,0.7095236137998583,4,165,57,12,12,,False,False
75,0,0.5500070913187579,6,166,57,12,12,,False,False
76,0,0.4632295589196209,6,167,60,12,12,,False,False
77,0,0.32755896361696174,11,168,61,12,12,,False,False
78,0,0.14240366023517312,20,169,62,12,12,,False,False
79,0,0.18850761949123812,2,286,34,5,5,,False,False
80,0,0.11310333035511755,1,210,166,12,12,,False,False
81,0,0.17259133187317174,1,210,168,12,12,,False,False
82,0,0.13430181344539738,1,210,170,12,12,,False,False
83,0,0.18803158184949545,1,210,171,12,12,,False,False
84,0,0.2604319994740285,1,212,178,7,7,,False,False
85,0,0.18803158184949545,1,212,181,7,7,,False,False
86,0,0.18822704929299913,3,204,174,12,12,,False,False
87,0,0.18803158184949545,1,212,181,7,7,,False,False
88,0,0.23247805239094718,3,211,91,12,12,,False,False
89,0,0.47010495309097255,2,216,92,12,12,,False,False
90,0,0.4282692459272125,1,219,93,12,12,,False,False
91,0,0.2842094815328842,3,222,94,12,12,,False,False
92,0,0.12880868391901176,4,235,103,12,12,,False,False
93,0,0.12742885653098524,1,124,82,6,6,,False,False
94,0,0.3237515660639155,10,234,96,5,5,,False,False
95,0,0.2951986424178384,8,236,96,5,5,,False,False
96,0,0.16256086935807265,10,240,96,5,5,,False,False
97,0,0.18785328922111683,2,103,63,7,18,,False,False
98,0,0.26296500450255833,1,104,63,7,19,,False,False
99,0,0.2372266057716289,1,105,63,7,19,,False,False
100,0,0.1375720727414285,3,187,171,12,12,,False,False
101,0,0.20132081747909555,2,185,172,12,12,,False,False
102,0,0.09239120265276039,1,106,64,7,19,,False,False
103,0,0.09239120265276039,1,106,65,7,19,,False,False
104,0,0.05649893728000153,1,183,176,12,12,,False,False
105,0,0.09239120265276039,2,105,65,7,20,,False,False
106,0,0.05888101503500672,4,150,84,6,7,,False,False
107,0,0.03911379569626213,29,228,100,12,12,,False,False
108,0,0.03953535556734686,2,151,84,6,7,,False,False
109,0,0.11924114219549087,2,162,174,7,7,,False,False
110,0,0.09448550830138967,2,152,83,7,7,,False,False
111,0,0.15576452215259917,1,168,176,3,3,,False,False
112,0,0.09448550830138967,1,154,83,6,7,,False,False
113,0,0.09448550830138967,1,155,83,7,7,,False,False
114,0,0.1559691696166642,13,212,89,3,3,,False,False
115,0,0.11417102972953032,16,215,89,3,3,,False,False
116,0,0.12521619935067776,40,218,89,3,3,,False,False
117,0,0.12521619935067776,38,216,89,3,3,,False,False
118,0,0.09448550830138967,2,162,81,7,8,,False,False
119,0,0.07217176230059852,3,165,81,7,8,,False,False
120,0,0.0712204706014967,42,255,79,12,12,,False,False
121,0,0.05959463763758689,1,294,40,3,3,,False,False
122,0,0.04795577304352017,74,214,92,3,3,,False,False
123,0,0.04330698076358165,2,172,81,7,8,,False,False
124,0,0.1059811810603699,2,176,82,6,7,,False,False
125,0,0.05416810518582719,4,305,80,12,12,,False,False
126,0,0.0781417852915288,3,26,176,3,3,,False,False
127,0,0.09388441569371608,2,23,177,3,3,,False,False
128,0,0.10209820638762844,2,25,182,12,12,,False,False
129,0,0.12200126708693286,1,9,181,12,12,,False,False
130,0,0.08543363423131377,1,5,184,12,12,,False,False
131,0,0.08543363423131377,2,1,187,12,12,,False,False
132,0,0.2743795163465621,2,123,68,8,4,,False,False
133,0,0.2743795163465621,1,129,67,7,5,,False,False
134,0,0.2743795163465621,1,135,68,5,3,,False,False
135,0,0.2743795163465621,1,135,68,5,3,,False,False
136,0,0.19704967033679854,1,135,65,12,12,,False,False
137,0,0.2743256110534454,1,139,68,7,4,,False,False
138,0,0.1777022456764597,3,141,68,7,4,,False,False
139,0,0.0661211781985006,3,154,66,7,7,,False,False
140,0,0.0468531541116987,1,150,69,7,4,,False,False
141,0,0.05832985248020212,3,160,68,7,7,,False,False
142,0,0.05832985248020212,3,165,68,7,7,,False,False
143,0,0.05319809980217966,1,159,71,8,4,,False,False
144,0,0.14446956394062596,2,163,72,7,5,,False,False
145,0,0.1276314386678536,2,163,72,7,5,,False,False
146,0,0.22078472748900319,79,195,52,12,12,,False,False
147,0,0.22078472748900319,44,195,52,12,12,,False,False
148,0,0.20761139037533796,1,170,75,7,4,,False,False
149,0,0.19909652502851644,2,174,77,8,4,,False,False
150,0,0.20770078755335505,2,177,78,8,4,,False,False
151,0,0.21667242934619993,1,178,78,8,5,,False,False
152,0,0.21667242934619993,2,181,79,8,5,,False,False
153,0,0.17817533075960829,1,181,80,1,4,,False,False
154,0,0.17764585433477284,2,184,80,9,4,,False,False
155,0,0.17764585433477284,1,184,80,9,4,,False,False
156,0,0.17764585433477284,1,187,80,8,5,,False,False
157,0,0.17764585433477284,1,187,80,8,5,,False,False
158,0,0.19516307481295395,2,186,82,3,3,,False,False
159,0,0.20362266277033939,2,186,83,3,3,,False,False
160,0,0.24171556481581088,3,127,71,12,12,,False,False
161,0,0.33615887787023363,3,129,73,12,12,,False,False
162,0,0.24171556481581088,3,130,74,12,12,,False,False
163,0,0.28615329322031013,4,131,75,12,12,,False,False
164,0,0.6192393748540544,2,132,76,12,12,,False,False
165,0,0.3735167066904911,3,133,76,12,12,,False,False
166,0,0.5346486815981233,2,135,77,12,12,,False,False
167,0,0.13109089998280812,1,198,90,10,4,,False,False
168,0,0.15671731559029634,1,199,90,11,5,,False,False
169,0,0.10617667430550341,2,194,82,12,12,,False,False
170,0,0.11889299956771181,2,196,90,12,12,,False,False
171,0,0.5710059008575422,2,131,81,12,12,,False,False
172,0,0.3978716863709019,2,130,82,12,12,,False,False
173,0,0.5797630771221477,3,114,73,12,12,,False,False
174,0,0.5794477309787079,2,113,74,12,12,,False,False
175,0,0.6720789933793164,1,113,76,12,12,,False,False
176,0,0.7057254325168839,1,112,79,12,12,,False,False
177,0,0.7057254325168839,1,111,81,12,12,,False,False
178,0,0.7570787943640636,1,110,81,12,12,,False,False
179,0,0.6673839261812377,1,109,82,12,12,,False,False
180,0,0.9445001480803799,2,110,88,3,3,,False,False
181,0,0.9445001480803799,2,108,89,3,3,,False,False
182,0,0.9257140211283937,1,105,89,12,12,,False,False
183,0,0.9337451975488289,1,105,89,12,12,,False,False
184,0,0.9059726364081523,1,104,90,12,12,,False,False
185,0,0.4203950841676144,4,103,91,12,12,,False,False
186,0,0.7564717235862394,2,104,91,12,12,,False,False
187,0,0.09730640334023782,1,202,86,5,5,,False,False
188,0,0.4066382100413765,4,104,92,12,12,,False,False
189,0,0.5350855598208957,5,104,93,12,12,,False,False
190,0,0.4504354602501382,6,104,94,12,12,,False,False
191,0,0.8519249447618529,3,105,95,12,12,,False,False
192,0,0.642672144803672,4,105,96,12,12,,False,False
193,0,0.7559238437900396,2,106,95,12,12,,False,False
194,0,0.7559238437900396,2,107,95,12,12,,False,False
195,0,0.7559238437900396,1,106,97,12,12,,False,False
196,0,0.8052878700251795,1,106,97,12,12,,False,False
197,0,0.08052071514220266,3,106,98,12,12,,False,False
198,0,0.10166701192235324,1,211,79,12,12,,False,False
199,0,0.06235038461875931,68,242,86,4,3,,False,False
200,0,0.06477232361062238,27,239,83,5,13,,False,False
201,0,0.08748247266608625,13,255,69,4,3,,False,False
202,0,0.11543916892381731,11,255,69,4,3,,False,False
203,0,0.5240026103033331,29,62,91,12,12,,False,False
204,0,0.4906013203508798,25,62,91,12,12,,False,False
205,0,0.26027015121140007,14,62,92,12,12,,False,False
206,0,0.262607597976035,17,266,44,3,3,,False,False
207,0,0.22569822831095676,18,268,41,3,3,,False,False
208,0,0.33591346875300687,24,64,98,7,7,,False,False
209,0,0.24680568665092192,19,65,99,7,7,,False,False
210,0,0.24680568665092192,27,66,100,7,7,,False,False
211,0,0.16488768678242807,6,60,99,12,12,,False,False
212,1,0.09461102710173623,2,193,117,3,3,128.111,False,False
213,1,0.34418265404835857,3,60,99,12,12,1.458,True,True
214,1,0.056421243855406845,1,216,65,7,6,156.557,False,False
215,1,0.29314706675256236,3,298,4,3,3,252.306,False,False
216,1,0.1421021122908538,80,282,30,3,3,227.689,False,False
217,1,0.14825743355361312,2,201,94,4,8,135.117,False,False
218,1,0.2034358977215687,1,64,102,7,7,1.677,True,True
219,1,0.7135910674930173,2,64,102,7,7,2.65,True,True
220,1,0.562831628418549,2,64,101,12,12,2.5,True,True
221,1,0.8428882092291915,1,63,103,12,12,1.07,True,True
222,1,0.8638120607800078,2,63,104,12,12,1.031,True,True
223,1,0.8975582964897226,1,63,106,12,12,0.12,True,True
224,1,0.8943656747816636,2,63,107,12,12,0.0,True,True
225,1,0.9112555865557246,2,63,108,12,12,0.277,True,True
226,1,0.9340904515957715,2,64,110,12,12,1.346,True,True
227,1,0.8068397421257291,1,64,112,12,12,2.393,True,True
228,1,0.8662177230241296,1,64,111,12,12,0.5,True,True
229,1,0.8513046025666973,1,64,112,12,12,0.669,True,True
230,1,0.8438061253443644,1,65,113,12,12,0.901,True,True
231,1,0.8662177230241296,1,65,113,12,12,0.277,True,True
232,1,0.8513046025666973,1,65,114,12,12,0.0,True,True
233,1,0.8729265515374928,2,65,113,12,12,0.841,True,True
234,1,0.6715112261004121,2,65,113,12,12,0.901,True,True
235,1,0.7287222335607246,1,66,113,12,12,0.277,True,True
236,1,0.8754471104926117,1,67,113,12,12,0.5,True,True
237,1,0.867309114624018,1,68,113,12,12,1.148,True,True
238,1,0.8808417669998727,1,67,113,12,12,0.559,True,True
239,1,0.9407951309367517,1,68,116,7,7,2.461,True,True
240,1,0.9409496338477006,1,68,112,12,12,0.0,True,True
241,1,0.9558288943380192,1,69,112,12,12,0.354,True,True
242,1,0.9409496338477006,1,70,112,12,12,0.707,True,True
243,1,0.9558288943380192,1,71,111,12,12,0.791,True,True
244,1,0.9474764030503107,1,74,117,4,3,1.803,True,True
245,1,0.9540610989581387,2,74,117,4,3,2.475,True,True
246,1,0.9566216192597536,1,73,110,12,12,0.707,True,True
247,1,0.9671028631285555,1,77,116,3,3,1.458,True,True
248,1,0.9671028631285555,2,77,116,3,3,2.121,True,True
249,1,0.9671028631285555,1,78,116,4,3,1.803,True,True
