block,avg_ms,p90_ms
preprocess,0.051,0.052
frame_router,0.001,0.002
motion_model,1.609,2.048
residual_masks,2.053,2.49
cheap_proposals,4.384,4.939
surface_extra_proposals,0.003,0.004
context_router,1.65,2.447
scenario_balance,0.001,0.001
tbd_update,13.915,16.26
export_selection,0.25,0.261
