frame,track_id,x,y,w,h,score,misses
241,4504,83,86,6,7,19.574317166748003,0
242,4504,82,88,5,5,21.642495071147152,0
243,4504,83,88,5,5,25.2724188468842,0
244,4504,83,87,5,7,23.94627261785714,0
245,4504,80,88,5,5,26.351760690045047,0
246,4504,82,87,6,7,23.65195757480783,0
247,4504,80,88,5,5,27.253952720848126,0
248,4504,82,88,5,6,25.290311134027675,0
249,4504,80,88,5,5,26.347113710035487,0
250,4504,76,90,3,3,24.931696499710895,0
251,4504,82,88,4,6,20.473835438864814,0
252,4504,81,89,5,5,21.91565447806957,0
253,4504,81,89,5,5,20.999036656095427,0
254,4504,81,88,5,6,21.11208089828781,0
255,4504,78,88,5,5,25.192989513514792,0
256,4504,81,88,4,6,22.480318001249977,0
257,4504,78,88,5,5,25.663555892368688,0
258,4504,80,89,5,5,21.54495844330712,0
259,4504,80,89,5,5,26.500895840757842,0
260,4504,80,89,5,5,23.854680955852647,1
261,4504,88,87,3,3,17.96550987732725,1
365,10427,71,116,12,12,16.408735445504334,0
367,10427,72,116,12,12,16.607583161199695,0
495,14474,4,70,5,5,14.777426931760235,0
534,16048,77,96,12,12,17.907246607265677,0
535,16048,82,102,3,4,19.058940527707495,0
536,16048,77,95,12,12,22.63355894586262,0
537,16048,77,95,12,12,26.426271165332597,0
538,16048,81,100,4,5,25.31099190911687,0
539,16048,77,94,12,12,27.54834271782062,0
540,16048,77,93,12,12,21.72943388012863,1
541,16048,78,94,12,12,20.87302355597855,0
542,16048,76,93,12,12,23.796375381249383,0
543,16048,75,93,12,12,18.831630608926968,1
544,16048,78,98,5,5,21.844451023583446,0
545,16048,77,98,5,5,16.919832605428322,1
546,16048,76,92,12,12,17.36204333304918,0
547,16048,76,98,3,3,17.883659837228123,0
592,16896,74,96,5,5,18.644199342042597,0
593,16896,76,96,6,5,17.985836162445167,0
594,16896,74,96,5,5,23.811262746519066,0
595,16896,76,95,5,6,22.517111275019523,0
596,16896,71,90,12,12,25.321290818854287,0
597,16896,74,96,5,5,31.810620909631652,0
598,16896,75,96,5,5,30.13886034272499,0
599,16896,71,90,12,12,33.7075558318614,0
600,16896,75,95,5,6,31.296510030286292,0
601,16896,72,96,5,5,30.23476295890802,0
602,16896,71,96,5,5,27.569101658159518,1
603,16896,73,95,6,6,23.806744825258892,0
604,16896,72,96,5,5,23.60783359699861,0
605,16896,73,95,6,6,20.22945611751396,0
606,16896,73,95,5,6,18.58099043017522,0
622,16896,67,86,12,12,21.25588383742598,0
623,16896,67,85,12,12,21.653773174681135,1
624,16896,66,86,12,12,25.372311273837823,0
625,16896,66,86,12,12,20.409982834482122,1
626,16896,68,92,5,5,28.168480093300897,0
627,16896,68,92,5,5,33.59112015296845,0
628,16896,70,91,5,6,27.659562084808673,0
629,16896,68,92,5,5,32.13146021442072,0
630,16896,69,92,5,5,28.021977503582075,0
631,16896,68,92,5,5,29.777446464321745,0
632,16896,68,86,12,12,32.33098250544761,0
633,16896,69,92,5,6,27.634829020195326,0
634,16896,66,87,12,12,33.7849520123035,0
635,16896,68,92,5,6,28.607655981062525,0
636,16896,66,92,5,5,30.942746358049817,0
637,16896,65,87,12,12,32.5490283430792,0
638,16896,67,93,5,6,28.197083259938324,0
639,16896,62,89,12,12,32.38991666766771,0
640,16896,67,94,4,5,27.25978998883295,0
641,16896,66,95,4,4,29.92745143192064,0
642,16896,64,96,3,3,33.43261088310199,0
643,16896,65,94,5,6,29.32869293860552,0
644,16896,65,96,4,4,32.305005456189335,0
645,16896,65,96,4,4,30.630560355605592,0
646,16896,60,90,12,12,26.39002153148441,0
647,16896,59,91,12,12,27.974475902114474,0
648,16896,63,98,4,4,23.148932171227298,0
649,16896,58,91,12,12,23.07202221732081,0
650,16896,57,90,12,12,17.938272174903243,1
652,16896,59,91,12,12,18.93688913955492,0
654,20288,32,180,12,12,17.73162160153097,0
