model,all_frames,all_oracle_recall,all_strict_hit,all_strict_recall,all_loose_hit,all_loose_recall,all_wrong,high_frames,high_oracle_recall,high_strict_hit,high_strict_recall,high_loose_hit,high_loose_recall,high_wrong
baseline_verified_score,323,0.854,212,0.656,225,0.697,111,323,0.854,212,0.656,225,0.697,111
logistic,323,0.854,235,0.728,251,0.777,88,323,0.854,235,0.728,251,0.777,88
hist_gbdt,323,0.854,269,0.833,273,0.845,54,323,0.854,269,0.833,273,0.845,54
extra_trees,323,0.854,269,0.833,275,0.851,54,323,0.854,269,0.833,275,0.851,54
