frame,y,dist_px,rank,source,confidence
5,1,5.513,67,map,high
5,1,3.202,68,map,high
6,0,38.115,1,map,high
6,0,55.383,3,map,high
6,0,69.38,4,map,high
6,0,80.547,5,map,high
6,0,80.445,6,map,high
6,0,73.362,7,map,high
6,0,73.349,8,map,high
6,0,58.302,9,map,high
6,0,57.824,10,map,high
6,0,60.78,11,map,high
6,0,117.47,12,map,high
6,0,36.164,13,map,high
6,0,108.132,14,map,high
6,0,125.362,15,map,high
6,0,68.247,16,map,high
6,0,121.919,17,map,high
6,0,120.658,18,map,high
6,0,58.186,19,map,high
6,0,42.141,20,map,high
6,0,30.177,21,map,high
6,0,62.431,22,map,high
6,0,30.192,23,appearance,high
6,0,122.249,24,map,high
6,0,67.148,25,appearance,high
6,0,34.454,26,appearance,high
6,0,63.911,27,map,high
6,0,73.85,28,map,high
6,0,44.264,30,map,high
6,0,59.528,31,map,high
6,0,42.488,32,map,high
6,0,46.56,33,map,high
6,0,48.595,34,map,high
6,0,54.586,35,map,high
6,0,118.282,36,map,high
6,0,102.35,37,map,high
6,0,52.997,38,map,high
6,0,84.208,39,map,high
6,0,57.439,40,map,high
6,0,43.866,41,map,high
6,0,39.243,42,map,high
6,0,59.778,43,map,high
6,0,119.44,44,map,high
6,1,5.902,46,map,high
6,1,2.93,47,map,high
7,0,64.586,1,map,high
7,0,73.622,2,map,high
7,0,68.175,3,map,high
7,0,54.518,4,map,high
7,0,58.574,5,map,high
7,0,119.211,6,map,high
7,0,135.525,8,map,high
7,0,34.977,9,map,high
7,0,62.914,10,map,high
7,0,102.654,11,map,high
7,0,39.978,12,map,high
7,0,28.553,13,map,high
7,0,59.774,14,map,high
7,0,41.503,15,map,high
7,0,61.036,16,map,high
7,0,43.749,17,map,high
7,0,73.04,18,map,high
7,0,29.762,19,map,high
7,0,31.317,21,appearance,high
7,0,55.042,22,map,high
7,0,69.288,23,map,high
7,0,80.998,24,map,high
7,0,80.889,25,map,high
7,0,73.354,26,map,high
7,0,57.844,27,map,high
7,0,58.273,28,map,high
7,0,61.216,29,map,high
7,0,117.812,30,map,high
7,0,36.081,31,map,high
7,0,108.277,32,map,high
7,0,125.728,33,map,high
7,0,69.542,34,appearance,high
7,0,122.136,35,map,high
7,0,120.685,36,map,high
7,0,58.274,37,map,high
7,0,32.584,38,appearance,high
7,0,122.396,39,map,high
7,0,66.88,40,appearance,high
7,1,6.634,41,map,high
7,1,4.709,42,map,high
7,0,64.034,43,map,high
7,0,74.081,44,map,high
7,0,41.539,45,map,high
7,0,59.068,46,map,high
7,0,93.094,47,map,high
7,0,54.165,48,map,high
7,0,38.938,49,map,high
7,0,43.676,50,map,high
7,0,42.404,52,map,high
7,0,79.836,53,map,high
7,0,102.54,54,map,high
7,0,133.149,55,map,high
7,0,84.27,56,map,high
7,0,84.103,57,map,high
7,0,44.298,58,map,high
7,0,60.238,59,map,high
7,0,89.631,60,map,high
7,0,119.797,61,map,high
7,0,66.862,62,map,high
7,0,42.695,63,map,high
7,1,2.709,65,map,high
8,0,64.645,1,map,high
8,0,56.651,2,map,high
8,0,79.447,3,map,high
8,0,60.188,4,map,high
8,0,47.407,5,map,high
8,0,66.267,6,map,high
8,0,53.12,7,map,high
8,0,44.777,8,map,high
8,0,76.088,9,map,high
8,0,89.89,10,map,high
8,0,56.782,12,map,high
8,0,44.625,13,map,high
8,0,107.663,14,map,high
8,0,123.7,15,map,high
8,0,101.433,16,map,high
8,0,61.685,17,map,high
8,0,29.349,18,map,high
8,0,136.306,19,map,high
8,0,116.233,20,map,high
8,0,73.532,21,map,high
8,0,68.154,22,map,high
8,0,54.525,23,map,high
8,0,119.58,24,map,high
8,0,135.864,26,map,high
8,0,34.943,27,map,high
8,0,63.37,28,map,high
8,0,102.982,29,map,high
8,0,28.993,30,map,high
8,0,60.224,31,map,high
8,0,41.84,32,map,high
8,0,60.862,33,map,high
8,0,43.361,34,map,high
8,0,72.841,35,map,high
8,0,70.839,36,appearance,high
8,0,35.852,37,appearance,high
8,0,29.566,38,appearance,high
8,0,32.47,39,appearance,high
8,0,32.134,40,appearance,high
8,1,7.084,42,map,high
8,0,74.44,43,map,high
8,0,60.951,44,map,high
8,0,66.611,45,appearance,high
8,1,4.998,46,map,high
8,0,60.73,47,map,high
8,0,81.394,48,map,high
8,0,41.993,49,map,high
8,0,38.989,50,map,high
8,0,58.612,51,map,high
8,0,61.131,52,map,high
8,0,93.253,53,map,high
8,0,53.753,54,map,high
8,0,79.816,55,map,high
8,0,133.5,56,map,high
8,0,76.766,57,map,high
8,0,91.853,58,map,high
8,0,84.191,59,map,high
8,0,70.013,60,map,high
8,0,90.059,61,map,high
8,0,67.292,62,map,high
8,0,91.644,63,map,high
8,0,43.134,64,map,high
8,1,1.97,65,map,high
9,0,69.077,1,map,high
9,0,64.717,2,map,high
9,0,55.572,3,map,high
9,0,79.38,4,map,high
9,0,60.819,5,map,high
9,0,47.856,6,map,high
9,0,66.729,7,map,high
9,0,53.279,8,map,high
9,0,45.232,9,map,high
9,0,75.973,10,map,high
9,0,90.33,11,map,high
9,0,57.242,13,map,high
9,0,45.084,14,map,high
9,0,107.986,15,map,high
9,0,123.761,16,map,high
9,0,101.419,17,map,high
9,0,62.138,18,map,high
9,0,28.937,19,map,high
9,0,136.465,20,map,high
9,0,73.452,21,map,high
9,0,68.145,22,map,high
9,0,116.264,23,map,high
9,0,70.586,24,appearance,high
9,0,54.545,25,map,high
9,0,119.958,26,map,high
9,0,31.209,27,appearance,high
9,0,36.125,28,appearance,high
9,0,29.816,29,appearance,high
9,0,136.213,31,map,high
9,0,34.905,32,map,high
9,0,63.831,33,map,high
9,0,103.322,34,map,high
9,0,29.44,35,map,high
9,0,60.679,36,map,high
9,0,42.177,37,map,high
9,0,60.697,38,map,high
9,0,42.975,39,map,high
9,0,72.65,40,map,high
9,0,74.876,41,map,high
9,1,7.537,43,map,high
9,0,60.944,44,map,high
9,1,5.308,45,map,high
9,0,60.649,46,map,high
9,0,81.557,47,map,high
9,0,52.2,48,map,high
9,0,42.451,49,map,high
9,0,58.468,50,map,high
9,0,58.151,51,map,high
9,0,39.038,52,map,high
9,0,61.268,53,map,high
9,0,93.425,54,map,high
9,0,32.268,55,map,high
9,0,79.807,56,map,high
9,0,133.86,57,map,high
9,0,76.889,58,map,high
9,0,91.965,59,map,high
9,0,84.292,60,map,high
9,0,90.494,61,map,high
9,0,91.521,62,map,high
9,0,43.581,63,map,high
9,1,1.738,64,map,high
10,0,108.226,1,map,high
10,0,109.123,2,map,high
10,0,41.119,3,map,high
10,0,97.251,5,map,high
10,0,56.461,6,map,high
10,0,57.121,7,map,high
10,0,45.473,8,map,high
10,0,78.063,9,map,high
10,0,140.203,10,map,high
10,0,88.101,11,map,high
10,0,93.471,12,map,high
10,0,59.48,13,map,high
10,0,80.136,14,map,high
10,0,108.323,15,map,high
10,0,79.516,16,map,high
10,0,52.61,17,map,high
10,0,48.32,18,map,high
10,0,25.958,19,map,high
10,0,122.857,20,map,high
10,0,86.786,21,map,high
10,0,60.513,22,map,high
10,0,80.752,23,map,high
10,0,57.696,24,map,high
10,0,47.369,25,map,high
10,0,91.503,26,map,high
10,0,110.751,27,map,high
10,0,68.226,28,map,high
10,0,136.553,29,map,high
10,0,137.16,30,map,high
10,0,137.484,31,map,high
10,0,64.783,32,map,high
10,0,28.527,33,map,high
10,0,31.23,34,appearance,high
10,0,79.308,35,map,high
10,0,30.977,36,appearance,high
10,0,48.299,37,map,high
10,0,67.185,38,map,high
10,0,53.43,39,map,high
10,0,99.714,40,map,high
10,0,45.682,41,map,high
10,0,75.854,42,map,high
10,0,90.762,43,map,high
10,0,57.696,45,map,high
10,0,108.3,46,map,high
10,0,123.814,47,map,high
10,0,101.399,48,map,high
10,0,62.584,49,map,high
10,0,136.616,50,map,high
10,0,116.288,51,map,high
10,0,71.679,52,appearance,high
10,0,37.327,53,appearance,high
10,0,75.305,54,map,high
10,0,86.746,56,map,high
10,1,7.988,57,map,high
10,0,60.933,58,map,high
10,0,69.511,59,map,high
10,0,51.796,60,map,high
10,0,127.168,61,map,high
10,0,60.562,62,map,high
10,0,81.712,63,map,high
10,0,61.415,64,map,high
10,0,131.037,65,map,high
10,0,58.573,66,map,high
10,0,39.1,67,map,high
10,0,32.708,68,map,high
10,0,105.631,69,map,high
10,0,79.679,70,map,high
10,0,77.992,71,map,high
10,0,98.427,72,map,high
10,1,7.603,73,map,high
10,0,77.005,74,map,high
10,0,92.07,75,map,high
10,0,82.285,76,map,high
10,0,93.342,77,map,high
10,0,116.867,78,map,high
10,0,91.394,79,map,high
10,1,2.358,80,map,high
11,0,108.244,1,map,high
11,0,59.127,2,map,high
11,0,31.246,3,appearance,high
11,0,109.109,4,map,high
11,0,41.576,5,map,high
11,0,97.03,7,map,high
11,0,56.408,8,map,high
11,0,57.296,9,map,high
11,0,45.917,10,map,high
