model,all_frames,all_oracle_recall,all_strict_hit,all_strict_recall,all_loose_hit,all_loose_recall,all_wrong,high_frames,high_oracle_recall,high_strict_hit,high_strict_recall,high_loose_hit,high_loose_recall,high_wrong
baseline_verified_score,89,0.685,2,0.022,22,0.247,87,49,0.51,0,0.0,0,0.0,49
logistic,89,0.685,14,0.157,25,0.281,75,49,0.51,0,0.0,5,0.102,49
extra_trees,89,0.685,16,0.18,33,0.371,73,49,0.51,0,0.0,3,0.061,49
