model,all_frames,all_oracle_recall,all_strict_hit,all_strict_recall,all_loose_hit,all_loose_recall,all_wrong,high_frames,high_oracle_recall,high_strict_hit,high_strict_recall,high_loose_hit,high_loose_recall,high_wrong
baseline_verified_score,89,0.629,10,0.112,27,0.303,79,49,0.327,0,0.0,0,0.0,49
logistic,89,0.629,26,0.292,44,0.494,63,49,0.327,4,0.082,7,0.143,45
extra_trees,89,0.629,34,0.382,43,0.483,55,49,0.327,3,0.061,5,0.102,46
