block,avg_ms,p90_ms
preprocess,0.049,0.052
frame_router,0.157,0.172
motion_model,1.549,1.945
residual_masks,1.869,2.283
cheap_proposals,4.131,5.806
surface_extra_proposals,1.767,3.376
context_router,1.725,3.326
scenario_balance,0.005,0.008
tbd_update,5.824,10.518
export_selection,0.064,0.241
