labels,high_labels,recall_top20,high_recall_top20,recall_top50,high_recall_top50,recall_top80,high_recall_top80,recall_top120,high_recall_top120,recall_top200,high_recall_top200,recall_top500,high_recall_top500,median_hit_rank,max_hit_rank,source,avg_candidates
89,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.0,391,478,native_dark,481.8
89,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.0,341,476,clahe_dark,486.2
89,49,0.258,0.449,0.416,0.673,0.539,0.755,0.573,0.776,0.73,0.857,0.91,0.857,67,353,temporal_dark,416.7
89,49,0.135,0.245,0.348,0.612,0.438,0.714,0.494,0.755,0.551,0.776,0.787,0.796,74,445,temporal_combo,481.0
89,49,0.135,0.02,0.258,0.082,0.337,0.143,0.404,0.224,0.517,0.367,0.82,0.857,146,691,temporal_halo,700.0
89,49,0.079,0.02,0.225,0.143,0.281,0.184,0.393,0.347,0.539,0.49,0.775,0.898,167,1098,combined,1095.8
