clip,frame,confidence,target_orig_cx,target_orig_cy,best_rank,best_dist_orig_px,hit_top20,hit_top50,hit_top80,hit_top120,hit_top200,hit_top500
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,660,high,150.0,194.0,45,5.0,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,661,high,153.0,194.0,29,5.0,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,662,high,156.0,194.0,15,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,663,high,156.0,194.0,144,5.385,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,664,high,159.0,194.0,44,4.123,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,665,high,159.0,194.0,34,4.123,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,666,high,163.0,194.0,1,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,667,high,166.0,194.0,4,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,668,high,166.0,194.0,10,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,669,high,168.0,193.0,17,4.472,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,670,high,168.0,193.0,1,5.0,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,671,high,171.0,193.0,7,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,672,high,174.0,193.0,18,5.099,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,673,high,174.0,193.0,67,8.944,0,0,0,0,0,0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,674,high,176.0,193.0,12,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,675,high,176.0,193.0,29,5.385,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,676,high,179.0,193.0,14,5.099,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,677,high,181.0,192.0,14,5.0,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,678,high,181.0,192.0,37,5.0,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,679,high,183.0,192.0,23,6.083,0,0,0,0,0,0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,680,high,183.0,192.0,29,5.385,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,681,high,186.0,192.0,70,5.099,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,682,high,187.0,191.0,13,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,683,high,187.0,191.0,29,5.385,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,684,high,189.0,191.0,9,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,685,high,189.0,191.0,4,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,686,high,191.0,190.0,17,6.325,0,0,0,0,0,0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,687,high,193.0,190.0,187,4.0,0,0,0,0,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,688,high,193.0,190.0,3,6.083,0,0,0,0,0,0
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,689,high,194.0,189.0,83,5.0,0,0,0,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,690,high,194.0,189.0,53,5.385,0,0,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,691,high,196.0,189.0,16,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,692,high,197.0,188.0,35,5.385,0,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,693,high,197.0,188.0,11,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,694,high,199.0,188.0,8,5.099,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,695,high,199.0,188.0,20,5.099,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,696,high,200.0,187.0,5,4.472,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,697,high,202.0,187.0,2,5.385,1,1,1,1,1,1
e2711620-6d4e-4f9c-8922-b1b2d1fb74f2,698,high,202.0,187.0,24,6.083,0,0,0,0,0,0
