block,avg_ms,p90_ms
preprocess,0.044,0.046
frame_router,0.001,0.001
motion_model,1.489,1.955
residual_masks,1.816,2.228
cheap_proposals,4.029,4.739
surface_extra_proposals,0.002,0.002
context_router,1.524,2.29
scenario_balance,0.001,0.001
tbd_update,3.426,4.981
export_selection,0.233,0.239
