bg_split,frames,selected_frames,oracle_hit,oracle_recall,strict_hit,strict_recall,loose_hit,loose_recall
ALL,1271,682,682,0.5366,393,0.3092,436,0.343
textured_non_sky,683,682,682,0.9985,393,0.5754,436,0.6384
unknown,588,0,0,0.0,0,0.0,0,0.0
