block,avg_ms,p90_ms
preprocess,0.053,0.053
frame_router,0.001,0.002
motion_model,1.608,2.059
residual_masks,2.055,2.471
cheap_proposals,4.39,4.958
surface_extra_proposals,0.003,0.004
context_router,1.66,2.454
scenario_balance,0.001,0.001
tbd_update,14.244,17.282
export_selection,0.252,0.264
